test_id,left_pwm,right_pwm,linvel_cmd,turnrate_cmd,sample_count,vel_left_mean,vel_right_mean,vel_mean,enc_left_start,enc_left_end,enc_left_delta,enc_right_start,enc_right_end,enc_right_delta,bat_v_mean,bat_v_min,bat_v_max,t_start,t_end
16,-1000.0,-1000.0,-0.08544921875,0.0,75,-0.08622666666666666,-0.08788,-0.08705333333333333,12069.0,12205.0,136.0,4294966803.0,4294966678.0,-125.0,12.014266666666666,12.01,12.02,1773236434.0875,1773236435.2797
17,-1000.0,0.0,-0.042724609375,0.3884055397727273,75,-0.08756,0.0,-0.04378,12330.0,12470.0,140.0,4294966656.0,4294966656.0,0.0,12.0332,12.03,12.05,1773236435.7917,1773236436.9847
18,-1000.0,1000.0,0.0,0.7768110795454546,76,-0.08251315789473684,0.08396052631578947,0.0007236842105263154,12602.0,12733.0,131.0,4294966769.0,4294966888.0,119.0,12.05421052631579,12.05,12.06,1773236437.4974,1773236438.6897
19,-1000.0,2000.0,0.042724609375,1.1652166193181819,76,-0.08293421052631579,0.1694342105263158,0.04325,12863.0,12994.0,131.0,4294967150.0,131.0,-4294967019.0,12.052631578947368,12.05,12.06,1773236439.1933,1773236440.3862
20,-1000.0,3000.0,0.08544921875,1.5536221590909092,75,-0.08401333333333333,0.25550666666666666,0.08574666666666667,13135.0,13260.0,125.0,552.0,973.0,421.0,12.05,12.05,12.05,1773236440.898,1773236442.0998
21,0.0,-3000.0,-0.128173828125,-1.1652166193181819,75,0.0,-0.2594666666666667,-0.12973333333333334,13265.0,13265.0,0.0,598.0,179.0,-419.0,12.05,12.05,12.05,1773236442.6033,1773236443.8042
22,0.0,-2000.0,-0.08544921875,-0.7768110795454546,75,0.0,-0.17097333333333334,-0.08548666666666667,13265.0,13265.0,0.0,4294967160.0,4294966885.0,-275.0,12.0592,12.04,12.06,1773236444.3168,1773236445.5094
23,0.0,-1000.0,-0.042724609375,-0.3884055397727273,76,0.0,-0.08460526315789474,-0.04230263157894737,13265.0,13265.0,0.0,4294966736.0,4294966618.0,-118.0,12.06,12.06,12.06,1773236446.0133,1773236447.2136
24,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,13265.0,13265.0,0.0,4294966608.0,4294966608.0,0.0,12.07,12.07,12.07,1773236447.7183,1773236448.91
25,0.0,1000.0,0.042724609375,0.3884055397727273,76,0.0,0.08806578947368421,0.044032894736842104,13265.0,13265.0,0.0,4294966719.0,4294966854.0,135.0,12.05092105263158,12.03,12.06,1773236449.4229,1773236450.6154
26,0.0,2000.0,0.08544921875,0.7768110795454546,75,0.0,0.17338666666666666,0.08669333333333333,13264.0,13264.0,0.0,4294967114.0,98.0,-4294967016.0,12.027199999999999,12.02,12.04,1773236451.1197,1773236452.3208
27,0.0,3000.0,0.128173828125,1.1652166193181819,75,0.0,0.25572,0.12786,13264.0,13264.0,0.0,510.0,931.0,421.0,12.029599999999999,12.0,12.03,1773236452.8244,1773236454.0257
28,1000.0,-3000.0,-0.08544921875,-1.5536221590909092,76,0.08423684210526317,-0.26076315789473686,-0.08826315789473685,13142.0,13013.0,-129.0,570.0,141.0,-429.0,12.025,12.01,12.04,1773236454.538,1773236455.7383
29,1000.0,-2000.0,-0.042724609375,-1.1652166193181819,75,0.08910666666666667,-0.17889333333333332,-0.044893333333333334,12886.0,12754.0,-132.0,4294967129.0,4294966845.0,-284.0,12.05,12.05,12.05,1773236456.2499,1773236457.4513
30,1000.0,-1000.0,0.0,-0.7768110795454546,75,0.08818666666666666,-0.08514666666666666,0.0015200000000000003,12630.0,12501.0,-129.0,4294966724.0,4294966605.0,-119.0,12.01,12.01,12.01,1773236457.9633,1773236459.1561
31,1000.0,0.0,0.042724609375,-0.3884055397727273,75,0.08530666666666666,0.0,0.04265333333333333,12365.0,12242.0,-123.0,4294966602.0,4294966602.0,0.0,12.05,12.05,12.05,1773236459.6603,1773236460.8689
32,1000.0,1000.0,0.08544921875,0.0,75,0.08157333333333333,0.08373333333333334,0.08265333333333333,12102.0,11975.0,-127.0,4294966711.0,4294966835.0,124.0,12.04,12.04,12.04,1773236461.3727,1773236462.5663
33,1000.0,2000.0,0.128173828125,0.3884055397727273,75,0.08741333333333333,0.16837333333333335,0.12789333333333333,11833.0,11699.0,-134.0,4294967090.0,70.0,-4294967020.0,12.04,12.04,12.04,1773236463.0781,1773236464.2708
34,1000.0,3000.0,0.1708984375,0.7768110795454546,75,0.08389333333333333,0.25889333333333336,0.17139333333333334,11579.0,11446.0,-133.0,480.0,898.0,418.0,12.0044,12.0,12.05,1773236464.7825,1773236465.9753
35,2000.0,-3000.0,-0.042724609375,-1.9420276988636365,75,0.17090666666666665,-0.25737333333333334,-0.04323333333333334,11186.0,10907.0,-279.0,537.0,114.0,-423.0,12.043466666666667,12.02,12.06,1773236466.4877,1773236467.68
36,2000.0,-2000.0,0.0,-1.5536221590909092,75,0.17279999999999998,-0.17289333333333334,-4.666666666666708e-05,10635.0,10358.0,-277.0,4294967137.0,4294966858.0,-279.0,12.027466666666665,12.02,12.03,1773236468.1925,1773236469.3853
37,2000.0,-1000.0,0.042724609375,-1.1652166193181819,76,0.1709736842105263,-0.0819078947368421,0.044532894736842105,10086.0,9805.0,-281.0,4294966719.0,4294966599.0,-120.0,12.007894736842106,12.0,12.03,1773236469.8969,1773236471.0981
38,2000.0,0.0,0.08544921875,-0.7768110795454546,75,0.17188,0.0,0.08594,9529.0,9247.0,-282.0,4294966595.0,4294966595.0,0.0,12.024533333333332,12.0,12.04,1773236471.6098,1773236472.8029
39,2000.0,1000.0,0.128173828125,-0.3884055397727273,76,0.17010526315789476,0.08736842105263158,0.12873684210526318,8981.0,8701.0,-280.0,4294966713.0,4294966849.0,136.0,12.03065789473684,12.02,12.04,1773236473.3152,1773236474.5079
40,2000.0,2000.0,0.1708984375,0.0,76,0.1703157894736842,0.17313157894736841,0.1717236842105263,8432.0,8152.0,-280.0,4294967095.0,84.0,-4294967011.0,12.03,12.03,12.03,1773236475.0203,1773236476.2126
41,2000.0,3000.0,0.213623046875,0.3884055397727273,75,0.16968,0.25734666666666667,0.21351333333333333,7872.0,7597.0,-275.0,490.0,907.0,417.0,12.027999999999999,12.02,12.03,1773236476.7247,1773236477.9175
42,3000.0,-3000.0,0.0,-2.3304332386363638,75,0.25761333333333336,-0.2585466666666667,-0.00046666666666666986,7194.0,6782.0,-412.0,548.0,130.0,-418.0,12.01,12.01,12.01,1773236478.43,1773236479.6227
43,3000.0,-2000.0,0.042724609375,-1.9420276988636365,76,0.25705263157894737,-0.16961842105263158,0.04371710526315789,6366.0,5942.0,-424.0,4294967142.0,4294966864.0,-278.0,12.032894736842104,12.02,12.04,1773236480.1347,1773236481.3264
44,3000.0,-1000.0,0.08544921875,-1.5536221590909092,75,0.25622666666666666,-0.08425333333333333,0.08598666666666667,5527.0,5113.0,-414.0,4294966736.0,4294966619.0,-117.0,12.0284,12.02,12.03,1773236481.8386,1773236483.0323
45,3000.0,0.0,0.128173828125,-1.1652166193181819,75,0.2562,0.0006,0.12840000000000001,4677.0,4262.0,-415.0,4294966609.0,4294966609.0,0.0,12.019733333333333,12.0,12.04,1773236483.5448,1773236484.7365
46,3000.0,1000.0,0.1708984375,-0.7768110795454546,75,0.2568666666666667,0.08713333333333334,0.17200000000000001,3840.0,3419.0,-421.0,4294966727.0,4294966863.0,136.0,12.002533333333332,12.0,12.04,1773236485.2484,1773236486.4501
47,3000.0,2000.0,0.213623046875,-0.3884055397727273,75,0.25597333333333333,0.16957333333333333,0.21277333333333334,3013.0,2601.0,-412.0,4294967129.0,107.0,-4294967022.0,12.0136,12.01,12.02,1773236486.954,1773236488.1547
48,3000.0,3000.0,0.25634765625,0.0,76,0.255,0.25494736842105264,0.2549736842105263,2189.0,1770.0,-419.0,514.0,933.0,419.0,12.026973684210526,12.02,12.03,1773236488.6669,1773236489.8587
